更新时间,#genre#
20240810-15-57-01,url


RespoTime,whitelist,#genre#
70.96ms,推荐9首DJ舞曲,https://vd2.bdstatic.com/mda-mhig1c3sw223mx8p/1080p/cae_h264/1629380139191731149/mda-mhig1c3sw223mx8p.mp4
70.96ms,DJ版《蜜雪冰城》,https://vd3.bdstatic.com/mda-mhbae2pwwxhyxjcz/1080p/cae_h264/1628767594518574030/mda-mhbae2pwwxhyxjcz.mp4
71.06ms,情哥哥DJ,https://vd3.bdstatic.com/mda-kjs8ewqz9tidsdjk/v1-cae/hd/mda-kjs8ewqz9tidsdjk.mp4
71.20ms,都市逍遥神医(93集),https://vd4.bdstatic.com/mda-pe9f7u2qj8qi7r04/720p/h264/1683716481871424650/mda-pe9f7u2qj8qi7r04.mp4
72.89ms,新歌上线7首,https://vd2.bdstatic.com/mda-nc4fkdejg6k892tp/720p/h264_delogo/1646478313883739193/mda-nc4fkdejg6k892tp.mp4
78.00ms,陈淑苹离家,http://vd2.bdstatic.com/mda-iftyuk6tjcxrm53p/sc/mda-iftyuk6tjcxrm53p.mp4
78.96ms,新世纪舞曲,https://vd4.bdstatic.com/mda-mkq704rtr59i9jtj/sc/cae_h264/1637823373696903055/mda-mkq704rtr59i9jtj.mp4
79.03ms,狂飙风暴(88集),https://vd4.bdstatic.com/mda-pe9mfch4kg5gyf3s/sc/cae_h264/1683788994589438440/mda-pe9mfch4kg5gyf3s.mp4
81.77ms,DJ情歌《爱情迷了路》,https://vd4.bdstatic.com/mda-mdbrb7fns70avrmt/1080p/cae_h264/1618222287/mda-mdbrb7fns70avrmt.mp4#
83.93ms,番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
84.07ms,CGTN俄语,https://0472.org/hls/cgtne.m3u8
84.21ms,第二集,https://vd3.bdstatic.com/mda-pit0tcwdqavh8c52/360p/h264/1695861390871263796/mda-pit0tcwdqavh8c52.mp4
85.73ms,云南卫视,http://116.226.8.253:8881/udp/239.45.0.4:5140
88.01ms,湖北卫视,http://116.226.8.253:8881/udp/239.45.3.239:5140
88.10ms,广东卫视,http://116.226.8.253:8881/udp/239.45.3.230:5140
88.15ms,三沙卫视,http://116.226.8.253:8881/udp/239.45.1.82:5140
88.95ms,江西卫视,http://116.226.8.253:8881/udp/239.45.1.122:5140
88.97ms,爱情一阵风,https://vd4.bdstatic.com:443/mda-mdkd7yybv4y505qa/1080p/h264_cae/1620480120114753589/mda-mdkd7yybv4y505qa.mp4
89.24ms,新疆卫视,http://116.226.8.253:8881/udp/239.45.1.116:5140
89.29ms,2022几首DJ串烧,https://vd3.bdstatic.com/mda-nck3tqzgjvj076vc/sc/cae_h264_delogo/1647833645083560959/mda-nck3tqzgjvj076vc.mp4
89.51ms,康巴卫视,http://101.83.73.7:8686/udp/239.45.1.251:5140
90.15ms,沉默是金,https://vd3.bdstatic.com/mda-mh05cp7e5775a9z2/sc/cae_h264/1627790223084175256/mda-mh05cp7e5775a9z2.mp4
90.56ms,内蒙古卫视,http://116.226.8.253:8881/udp/239.45.1.238:5140
90.61ms,西藏卫视,http://116.226.8.253:8881/udp/239.45.1.231:5140
91.42ms,张秀卿车站,http://vd2.bdstatic.com/mda-jjmnjgiabtvmy13u/sc/mda-jjmnjgiabtvmy13u.mp4
92.02ms,湖南卫视,http://116.226.8.253:8881/udp/239.45.3.228:5140
92.04ms,CCTV12,http://116.234.41.97:10001/udp/239.45.3.10:5140
92.30ms,安徽卫视,http://101.83.73.7:8686/udp/239.45.1.120:5140
92.40ms,黑龙江卫视,http://116.226.8.253:8881/udp/239.45.3.232:5140
92.65ms,西藏卫视,http://101.83.73.7:8686/udp/239.45.1.231:5140
92.75ms,巨富同学会(100集),https://txmov2.a.kwimgs.com/bs3/video-hls/5238249422970059143_hlsb.m3u8
92.99ms,CCTV9,http://116.234.41.97:10001/udp/239.45.3.4:5140
93.04ms,八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
93.07ms,CCTV7,http://116.234.41.97:10001/udp/239.45.3.56:5140
93.15ms,浙江卫视,http://116.230.101.210:6066/udp/239.45.3.178:5140
